n,variance,layer,architecture,task,kind,source
225,1936.3150702923601,c2,AtlasNet,ksize_9,Untrained,PyTorch
226,1934.3169644326024,c2,AtlasNet,ksize_9,Untrained,PyTorch
227,1929.092633954387,c2,AtlasNet,ksize_9,Untrained,PyTorch
228,1927.0463636940815,c2,AtlasNet,ksize_9,Untrained,PyTorch
229,1921.6944851908718,c2,AtlasNet,ksize_9,Untrained,PyTorch
230,1916.2293394286994,c2,AtlasNet,ksize_9,Untrained,PyTorch
231,1911.0549901809388,c2,AtlasNet,ksize_9,Untrained,PyTorch
232,1901.1429857773744,c2,AtlasNet,ksize_9,Untrained,PyTorch
233,1899.2772495089193,c2,AtlasNet,ksize_9,Untrained,PyTorch
234,1894.0861542962286,c2,AtlasNet,ksize_9,Untrained,PyTorch
235,1887.0630511174188,c2,AtlasNet,ksize_9,Untrained,PyTorch
236,1885.4924301021204,c2,AtlasNet,ksize_9,Untrained,PyTorch
237,1880.2011976884723,c2,AtlasNet,ksize_9,Untrained,PyTorch
238,1877.5618722691868,c2,AtlasNet,ksize_9,Untrained,PyTorch
239,1870.8264728326853,c2,AtlasNet,ksize_9,Untrained,PyTorch
240,1868.9019967073473,c2,AtlasNet,ksize_9,Untrained,PyTorch
241,1864.2531294426137,c2,AtlasNet,ksize_9,Untrained,PyTorch
242,1860.5909308558291,c2,AtlasNet,ksize_9,Untrained,PyTorch
243,1854.9883513124162,c2,AtlasNet,ksize_9,Untrained,PyTorch
244,1852.3405301218177,c2,AtlasNet,ksize_9,Untrained,PyTorch
245,1848.8368442113974,c2,AtlasNet,ksize_9,Untrained,PyTorch
246,1842.3137033267549,c2,AtlasNet,ksize_9,Untrained,PyTorch
247,1837.1169009704993,c2,AtlasNet,ksize_9,Untrained,PyTorch
248,1828.0849144006024,c2,AtlasNet,ksize_9,Untrained,PyTorch
249,1825.270147448939,c2,AtlasNet,ksize_9,Untrained,PyTorch
250,1821.4950649277316,c2,AtlasNet,ksize_9,Untrained,PyTorch
251,1815.0904159179188,c2,AtlasNet,ksize_9,Untrained,PyTorch
252,1812.8363392720785,c2,AtlasNet,ksize_9,Untrained,PyTorch
253,1807.8605208035128,c2,AtlasNet,ksize_9,Untrained,PyTorch
254,1801.42378079,c2,AtlasNet,ksize_9,Untrained,PyTorch
255,1798.2244729849535,c2,AtlasNet,ksize_9,Untrained,PyTorch
256,1792.7191232055993,c2,AtlasNet,ksize_9,Untrained,PyTorch
257,1792.184078389202,c2,AtlasNet,ksize_9,Untrained,PyTorch
258,1786.7294790925712,c2,AtlasNet,ksize_9,Untrained,PyTorch
259,1785.5336326154315,c2,AtlasNet,ksize_9,Untrained,PyTorch
260,1780.1619123810485,c2,AtlasNet,ksize_9,Untrained,PyTorch
261,1774.10416847855,c2,AtlasNet,ksize_9,Untrained,PyTorch
262,1771.3013843901379,c2,AtlasNet,ksize_9,Untrained,PyTorch
263,1766.7685113432685,c2,AtlasNet,ksize_9,Untrained,PyTorch
264,1763.610820302705,c2,AtlasNet,ksize_9,Untrained,PyTorch
265,1761.630562544413,c2,AtlasNet,ksize_9,Untrained,PyTorch
266,1754.5221743534062,c2,AtlasNet,ksize_9,Untrained,PyTorch
267,1750.5684399162758,c2,AtlasNet,ksize_9,Untrained,PyTorch
268,1745.3620838842205,c2,AtlasNet,ksize_9,Untrained,PyTorch
269,1743.4214602644975,c2,AtlasNet,ksize_9,Untrained,PyTorch
270,1740.7123287509035,c2,AtlasNet,ksize_9,Untrained,PyTorch
271,1738.058245228423,c2,AtlasNet,ksize_9,Untrained,PyTorch
272,1733.7682440879848,c2,AtlasNet,ksize_9,Untrained,PyTorch
273,1732.1401863424862,c2,AtlasNet,ksize_9,Untrained,PyTorch
274,1725.412073941295,c2,AtlasNet,ksize_9,Untrained,PyTorch
275,1719.8618048915368,c2,AtlasNet,ksize_9,Untrained,PyTorch
276,1716.0742753788877,c2,AtlasNet,ksize_9,Untrained,PyTorch
277,1712.2843227818055,c2,AtlasNet,ksize_9,Untrained,PyTorch
278,1711.4269828885117,c2,AtlasNet,ksize_9,Untrained,PyTorch
279,1702.9359079518458,c2,AtlasNet,ksize_9,Untrained,PyTorch
280,1702.0976440557533,c2,AtlasNet,ksize_9,Untrained,PyTorch
281,1698.0068676063415,c2,AtlasNet,ksize_9,Untrained,PyTorch
282,1694.7655704774027,c2,AtlasNet,ksize_9,Untrained,PyTorch
283,1691.920304767466,c2,AtlasNet,ksize_9,Untrained,PyTorch
284,1684.5084061006485,c2,AtlasNet,ksize_9,Untrained,PyTorch
285,1677.7709328681224,c2,AtlasNet,ksize_9,Untrained,PyTorch
286,1677.0901815045156,c2,AtlasNet,ksize_9,Untrained,PyTorch
287,1673.252140372751,c2,AtlasNet,ksize_9,Untrained,PyTorch
288,1672.8645841462312,c2,AtlasNet,ksize_9,Untrained,PyTorch
289,1669.2027884922932,c2,AtlasNet,ksize_9,Untrained,PyTorch
290,1663.5379675085596,c2,AtlasNet,ksize_9,Untrained,PyTorch
291,1658.626329668494,c2,AtlasNet,ksize_9,Untrained,PyTorch
292,1657.1377495593772,c2,AtlasNet,ksize_9,Untrained,PyTorch
293,1650.2248662992442,c2,AtlasNet,ksize_9,Untrained,PyTorch
294,1645.005384952084,c2,AtlasNet,ksize_9,Untrained,PyTorch
295,1642.060428491573,c2,AtlasNet,ksize_9,Untrained,PyTorch
296,1638.3236717176253,c2,AtlasNet,ksize_9,Untrained,PyTorch
297,1636.8005799940413,c2,AtlasNet,ksize_9,Untrained,PyTorch
298,1633.7436585298294,c2,AtlasNet,ksize_9,Untrained,PyTorch
299,1627.5416517483297,c2,AtlasNet,ksize_9,Untrained,PyTorch
300,1623.5513525122249,c2,AtlasNet,ksize_9,Untrained,PyTorch
301,1620.7481359612063,c2,AtlasNet,ksize_9,Untrained,PyTorch
302,1616.7438942942467,c2,AtlasNet,ksize_9,Untrained,PyTorch
303,1612.4020896229908,c2,AtlasNet,ksize_9,Untrained,PyTorch
304,1611.3731135995274,c2,AtlasNet,ksize_9,Untrained,PyTorch
305,1606.2898845850627,c2,AtlasNet,ksize_9,Untrained,PyTorch
306,1603.129878706071,c2,AtlasNet,ksize_9,Untrained,PyTorch
307,1600.8982029053552,c2,AtlasNet,ksize_9,Untrained,PyTorch
308,1598.6780296635447,c2,AtlasNet,ksize_9,Untrained,PyTorch
309,1596.0727767422595,c2,AtlasNet,ksize_9,Untrained,PyTorch
310,1592.315031426213,c2,AtlasNet,ksize_9,Untrained,PyTorch
311,1589.204354463838,c2,AtlasNet,ksize_9,Untrained,PyTorch
312,1587.6967695309922,c2,AtlasNet,ksize_9,Untrained,PyTorch
313,1582.031722812935,c2,AtlasNet,ksize_9,Untrained,PyTorch
314,1578.5606073294991,c2,AtlasNet,ksize_9,Untrained,PyTorch
315,1574.730969755159,c2,AtlasNet,ksize_9,Untrained,PyTorch
316,1574.3130194242342,c2,AtlasNet,ksize_9,Untrained,PyTorch
317,1568.9402444958403,c2,AtlasNet,ksize_9,Untrained,PyTorch
318,1558.912953883175,c2,AtlasNet,ksize_9,Untrained,PyTorch
319,1555.428882157302,c2,AtlasNet,ksize_9,Untrained,PyTorch
320,1550.2893482055306,c2,AtlasNet,ksize_9,Untrained,PyTorch
321,1549.4339357811837,c2,AtlasNet,ksize_9,Untrained,PyTorch
322,1544.352736416212,c2,AtlasNet,ksize_9,Untrained,PyTorch
323,1543.9448439027638,c2,AtlasNet,ksize_9,Untrained,PyTorch
324,1542.244647225606,c2,AtlasNet,ksize_9,Untrained,PyTorch
325,1538.6833914367105,c2,AtlasNet,ksize_9,Untrained,PyTorch
326,1529.213007827198,c2,AtlasNet,ksize_9,Untrained,PyTorch
327,1528.0280052651249,c2,AtlasNet,ksize_9,Untrained,PyTorch
328,1524.4985542579934,c2,AtlasNet,ksize_9,Untrained,PyTorch
329,1522.1969309008684,c2,AtlasNet,ksize_9,Untrained,PyTorch
330,1519.785300785371,c2,AtlasNet,ksize_9,Untrained,PyTorch
331,1518.528239905494,c2,AtlasNet,ksize_9,Untrained,PyTorch
332,1516.9360065007554,c2,AtlasNet,ksize_9,Untrained,PyTorch
333,1512.8209558214908,c2,AtlasNet,ksize_9,Untrained,PyTorch
334,1511.2877826797255,c2,AtlasNet,ksize_9,Untrained,PyTorch
335,1509.3542896554925,c2,AtlasNet,ksize_9,Untrained,PyTorch
336,1505.1010796168011,c2,AtlasNet,ksize_9,Untrained,PyTorch
337,1499.8273045191806,c2,AtlasNet,ksize_9,Untrained,PyTorch
338,1497.1845667366995,c2,AtlasNet,ksize_9,Untrained,PyTorch
339,1491.674638899377,c2,AtlasNet,ksize_9,Untrained,PyTorch
340,1491.3594967364188,c2,AtlasNet,ksize_9,Untrained,PyTorch
341,1486.3616006220643,c2,AtlasNet,ksize_9,Untrained,PyTorch
342,1482.8008862867562,c2,AtlasNet,ksize_9,Untrained,PyTorch
343,1478.590810416236,c2,AtlasNet,ksize_9,Untrained,PyTorch
344,1477.5922027290158,c2,AtlasNet,ksize_9,Untrained,PyTorch
345,1474.8327139223402,c2,AtlasNet,ksize_9,Untrained,PyTorch
346,1471.747770392668,c2,AtlasNet,ksize_9,Untrained,PyTorch
347,1468.3432351926642,c2,AtlasNet,ksize_9,Untrained,PyTorch
348,1464.5975880185317,c2,AtlasNet,ksize_9,Untrained,PyTorch
349,1462.641983639084,c2,AtlasNet,ksize_9,Untrained,PyTorch
350,1460.2442410652777,c2,AtlasNet,ksize_9,Untrained,PyTorch
351,1459.3789744005026,c2,AtlasNet,ksize_9,Untrained,PyTorch
352,1455.6759219893706,c2,AtlasNet,ksize_9,Untrained,PyTorch
353,1454.2922528783793,c2,AtlasNet,ksize_9,Untrained,PyTorch
354,1450.6922060370505,c2,AtlasNet,ksize_9,Untrained,PyTorch
355,1446.006893023576,c2,AtlasNet,ksize_9,Untrained,PyTorch
356,1444.4151775873895,c2,AtlasNet,ksize_9,Untrained,PyTorch
357,1438.6574625220517,c2,AtlasNet,ksize_9,Untrained,PyTorch
358,1434.5004335059054,c2,AtlasNet,ksize_9,Untrained,PyTorch
359,1431.4267572421688,c2,AtlasNet,ksize_9,Untrained,PyTorch
360,1430.6043186494044,c2,AtlasNet,ksize_9,Untrained,PyTorch
361,1428.2296736969151,c2,AtlasNet,ksize_9,Untrained,PyTorch
362,1427.319576190131,c2,AtlasNet,ksize_9,Untrained,PyTorch
363,1420.2972726303392,c2,AtlasNet,ksize_9,Untrained,PyTorch
364,1416.6654125428684,c2,AtlasNet,ksize_9,Untrained,PyTorch
365,1414.674899308031,c2,AtlasNet,ksize_9,Untrained,PyTorch
366,1411.6892791456114,c2,AtlasNet,ksize_9,Untrained,PyTorch
367,1408.4833158657925,c2,AtlasNet,ksize_9,Untrained,PyTorch
368,1402.4209098650285,c2,AtlasNet,ksize_9,Untrained,PyTorch
369,1400.6114507757334,c2,AtlasNet,ksize_9,Untrained,PyTorch
370,1396.575893930748,c2,AtlasNet,ksize_9,Untrained,PyTorch
